RegCode;DepCode;age_group;Year;n;n_HCL;Pop;p_HCL;catchment_HCL
11;75;18-64;2022;2579;201;1392584,81407036795;0,077937184955409078;108534,1402202962345
11;75;18-64;2023;2173;183;1381102,66124750557;0,084215370455591354;116310,0722541617724
11;75;18-64;2024;2473;215;1368887,67109800316;0,086938940558026687;119009,6438682048756
11;75;65-79;2019;263;12;262415,00000000000;0,045627376425855515;11973,3079847908757
11;75;65-79;2020;301;0;264825,00000000000;0,000000000000000000;0,0000000000000
11;75;65-79;2021;203;8;267247,00000000000;0,039408866995073892;10531,9014778325127
11;75;65-79;2022;352;14;269329,00000000000;0,039772727272727272;10711,9488636363640
11;75;65-79;2023;234;18;269199,00000000000;0,076923076923076927;20707,6153846153866
11;75;65-79;2024;408;11;268522,00000000000;0,026960784313725492;7239,5637254901967
11;75;80+;2019;218;0;107404,00000000000;0,000000000000000000;0,0000000000000
11;75;80+;2020;209;0;109066,00000000000;0,000000000000000000;0,0000000000000
11;75;80+;2021;207;0;109261,00000000000;0,000000000000000000;0,0000000000000
11;75;80+;2022;174;0;109257,00000000000;0,000000000000000000;0,0000000000000
11;75;80+;2023;168;0;110323,00000000000;0,000000000000000000;0,0000000000000
11;75;80+;2024;239;0;111905,00000000000;0,000000000000000000;0,0000000000000
11;75;NA;2019;0;0;NA;NA;NA
11;75;NA;2020;0;0;NA;NA;NA
11;75;NA;2021;0;0;NA;NA;NA
11;75;NA;2022;0;0;NA;NA;NA
11;75;NA;2023;29;0;NA;0,000000000000000000;NA
11;75;NA;2024;0;0;NA;NA;NA
11;77;0-1;2019;63;0;35136,08364403139;0,000000000000000000;0,0000000000000
11;77;0-1;2020;39;0;34642,69324197502;0,000000000000000000;0,0000000000000
11;77;0-1;2021;60;0;34765,51591365746;0,000000000000000000;0,0000000000000
11;77;0-1;2022;68;0;35111,48902088992;0,000000000000000000;0,0000000000000
11;77;0-1;2023;50;0;35016,65928342260;0,000000000000000000;0,0000000000000
11;77;0-1;2024;43;0;33773,27180018622;0,000000000000000000;0,0000000000000
11;77;2-4;2019;67;0;56409,91635596861;0,000000000000000000;0,0000000000000
11;77;2-4;2020;66;0;55021,30675802498;0,000000000000000000;0,0000000000000
11;77;2-4;2021;65;0;55040,48408634254;0,000000000000000000;0,0000000000000
11;77;2-4;2022;74;0;55286,51097911009;0,000000000000000000;0,0000000000000
11;77;2-4;2023;53;0;54983,34071657740;0,000000000000000000;0,0000000000000
11;77;2-4;2024;64;0;55278,72819981378;0,000000000000000000;0,0000000000000
11;77;5-17;2019;293;0;263221,20014396403;0,000000000000000000;0,0000000000000
11;77;5-17;2020;164;0;262668,28968446783;0,000000000000000000;0,0000000000000
11;77;5-17;2021;227;0;263340,73758028133;0,000000000000000000;0,0000000000000
